from,to,cost
0,1,630
0,2,1132
0,3,1632
0,4,2030
0,5,2680
0,6,3372
0,7,3872
0,8,4550
0,9,5120
0,10,5650
0,11,6150
0,12,6810
1,0,630
1,2,502
1,3,1002
1,4,1400
1,5,2050
1,6,2742
1,7,3242
1,8,3920
1,9,4490
1,10,5020
1,11,5520
1,12,6180
2,0,1132
2,1,502
2,3,1632
2,4,898
2,5,1548
2,6,2240
2,7,2740
2,8,3418
2,9,3988
2,10,4518
2,11,5018
2,12,5678
3,0,1632
3,1,1002
3,2,500
3,4,398
3,5,1048
3,6,1740
3,7,2240
3,8,2918
3,9,3488
3,10,4018
3,11,4518
3,12,5178
4,0,2030
4,1,1400
4,2,898
4,3,398
4,5,650
4,6,1342
4,7,1842
4,8,2520
4,9,3090
4,10,3620
4,11,4120
4,12,4780
5,0,2680
5,1,2050
5,2,1548
5,3,1048
5,4,650
5,6,692
5,7,1192
5,8,1870
5,9,2440
5,10,2970
5,11,3470
5,12,4130
6,0,3372
6,1,2742
6,2,2240
6,3,1740
6,4,1342
6,5,692
6,7,500
6,8,1178
6,9,1748
6,10,2278
6,11,2778
6,12,3438
7,0,3872
7,1,3242
7,2,2740
7,3,2240
7,4,1842
7,5,1192
7,6,500
7,8,678
7,9,1248
7,10,1778
7,11,2278
7,12,2938
8,0,4550
8,1,3920
8,2,3418
8,3,2918
8,4,2520
8,5,1870
8,6,1178
8,7,678
8,9,570
8,10,1100
8,11,1600
8,12,2260
9,0,5120
9,1,4490
9,2,3988
9,3,3488
9,4,3090
9,5,2440
9,6,1748
9,7,1248
9,8,570
9,10,530
9,11,1030
9,12,1690
10,0,5650
10,1,5020
10,2,4518
10,3,4018
10,4,3620
10,5,2970
10,6,2278
10,7,1778
10,8,1100
10,9,530
10,11,500
10,12,1160
11,0,6150
11,1,5520
11,2,5018
11,3,4518
11,4,4120
11,5,3470
11,6,2778
11,7,2278
11,8,1600
11,9,1030
11,10,500
11,12,660
12,0,6810
12,1,6180
12,2,5678
12,3,5178
12,4,4780
12,5,4130
12,6,3438
12,7,2938
12,8,2260
12,9,1690
12,10,1160
12,11,660
